year,territory_raw,territory_level,metric,value
2013,Враца,district,urban,106198.0
2013,Враца,district,rural,73787.0
2014,Враца,district,total,176782.0
2014,Враца,district,urban,104246.0
2014,Враца,district,rural,72536.0
2015,Враца,district,total,173588.0
2015,Враца,district,urban,101313.5
2015,Враца,district,rural,72274.5
2016,Враца,district,total,170367.0
2016,Враца,district,urban,98787.0
2016,Враца,district,rural,71580.0
2017,Враца,district,total,167186.0
2017,Враца,district,urban,97523.0
2017,Враца,district,rural,69663.0
2018,Враца,district,total,164097.0
2018,Враца,district,urban,96301.0
2018,Враца,district,rural,67796.0
2019,Враца,district,total,161009.5
2019,Враца,district,urban,94800.0
2019,Враца,district,rural,66209.5
2020,Враца,district,total,158553.5
2020,Враца,district,urban,93272.0
2020,Враца,district,rural,65281.5
2021,Враца,district,total,155668.5
2021,Враца,district,urban,91636.5
2021,Враца,district,rural,64032.0
2022,Враца,district,total,149952.0
2022,Враца,district,urban,89647.0
2022,Враца,district,rural,60305.0
2023,Враца,district,total,148246.5
2023,Враца,district,urban,88156.5
2023,Враца,district,rural,60090.0
2024,Враца,district,total,146810.5
2024,Враца,district,urban,86856.5
2024,Враца,district,rural,59954.0
2025,Враца,district,total,145252.0
2025,Враца,district,urban,86177.5
2025,Враца,district,rural,59074.5
2010,Габрово,district,total,128875.0
2010,Габрово,district,urban,103278.0
2010,Габрово,district,rural,25597.0
2011,Габрово,district,total,122116.0
2011,Габрово,district,urban,99817.0
2011,Габрово,district,rural,22299.0
2012,Габрово,district,total,120680.0
2012,Габрово,district,urban,98812.0
2012,Габрово,district,rural,21868.0
2013,Габрово,district,total,119121.0
2013,Габрово,district,urban,97664.0
2013,Габрово,district,rural,21457.0
2014,Габрово,district,total,117311.0
2014,Габрово,district,urban,96200.0
2014,Габрово,district,rural,21111.0
2015,Габрово,district,total,115311.5
2015,Габрово,district,urban,94446.5
2015,Габрово,district,rural,20865.0
2016,Габрово,district,total,113303.0
2016,Габрово,district,urban,92696.5
2016,Габрово,district,rural,20606.5
2017,Габрово,district,total,111294.0
2017,Габрово,district,urban,91095.5
2017,Габрово,district,rural,20198.5
2018,Габрово,district,total,109329.0
2018,Габрово,district,urban,89543.5
2018,Габрово,district,rural,19785.5
2019,Габрово,district,total,107501.0
2019,Габрово,district,urban,88032.5
2019,Габрово,district,rural,19468.5
2020,Габрово,district,total,106193.0
2020,Габрово,district,urban,85905.5
2020,Габрово,district,rural,20287.5
2021,Габрово,district,total,104596.0
2021,Габрово,district,urban,83561.0
2021,Габрово,district,rural,21035.0
2022,Габрово,district,total,96683.0
2022,Габрово,district,urban,76945.0
2022,Габрово,district,rural,19738.0
2023,Габрово,district,total,95409.5
2023,Габрово,district,urban,75931.5
2023,Габрово,district,rural,19478.0
2024,Габрово,district,total,94339.5
2024,Габрово,district,urban,74988.5
2024,Габрово,district,rural,19351.0
2025,Габрово,district,total,93269.5
2025,Габрово,district,urban,74103.5
2025,Габрово,district,rural,19166.0
2010,Добрич,district,total,198564.0
2010,Добрич,district,urban,133156.0
2010,Добрич,district,rural,65408.0
2011,Добрич,district,total,188975.0
2011,Добрич,district,urban,130155.0
2011,Добрич,district,rural,58820.0
2012,Добрич,district,total,187266.0
2012,Добрич,district,urban,129194.0
2012,Добрич,district,rural,58072.0
2013,Добрич,district,total,185562.0
2013,Добрич,district,urban,128183.0
2013,Добрич,district,rural,57379.0
2014,Добрич,district,total,183744.0
2014,Добрич,district,urban,126951.0
2014,Добрич,district,rural,56793.0
2015,Добрич,district,total,181704.5
2015,Добрич,district,urban,125235.0
2015,Добрич,district,rural,56469.5
2016,Добрич,district,total,179519.5
2016,Добрич,district,urban,123632.5
2016,Добрич,district,rural,55887.0
2017,Добрич,district,total,177291.5
2017,Добрич,district,urban,122358.5
2017,Добрич,district,rural,54933.0
2018,Добрич,district,total,174988.0
2018,Добрич,district,urban,120962.5
2018,Добрич,district,rural,54025.5
2019,Добрич,district,total,172820.0
2019,Добрич,district,urban,119375.5
2019,Добрич,district,rural,53444.5
2020,Добрич,district,total,171053.5
2020,Добрич,district,urban,117743.0
2020,Добрич,district,rural,53310.5
2021,Добрич,district,total,168806.0
2021,Добрич,district,urban,115864.0
2021,Добрич,district,rural,52942.0
2022,Добрич,district,total,148106.0
2022,Добрич,district,urban,105227.0
2022,Добрич,district,rural,42879.0
2023,Добрич,district,total,146921.5
2023,Добрич,district,urban,103443.0
2023,Добрич,district,rural,43478.5
2024,Добрич,district,total,145921.0
2024,Добрич,district,urban,101919.0
2024,Добрич,district,rural,44002.0
2025,Добрич,district,total,144532.5
2025,Добрич,district,urban,100718.5
2025,Добрич,district,rural,43814.0
2010,Кърджали,district,total,154145.0
2010,Кърджали,district,urban,64590.0
2010,Кърджали,district,rural,89555.0
2011,Кърджали,district,total,152474.0
2011,Кърджали,district,urban,63261.0
2011,Кърджали,district,rural,89213.0
2012,Кърджали,district,total,151675.0
2012,Кърджали,district,urban,63050.0
2012,Кърджали,district,rural,88625.0
2013,Кърджали,district,total,150973.0
2013,Кърджали,district,urban,62967.0
2013,Кърджали,district,rural,88006.0
2014,Кърджали,district,total,151329.0
2014,Кърджали,district,urban,62932.0
2014,Кърджали,district,rural,88397.0
2015,Кърджали,district,total,151686.0
2015,Кърджали,district,urban,62529.0
2015,Кърджали,district,rural,89157.0
2016,Кърджали,district,total,151078.0
2016,Кърджали,district,urban,62188.0
2016,Кърджали,district,rural,88890.0
2017,Кърджали,district,total,150975.0
2017,Кърджали,district,urban,62394.5
2017,Кърджали,district,rural,88580.5
2018,Кърджали,district,total,151993.0
2018,Кърджали,district,urban,62806.5
2018,Кърджали,district,rural,89186.5
2019,Кърджали,district,total,155538.5
2019,Кърджали,district,urban,63436.0
2019,Кърджали,district,rural,92102.5
2020,Кърджали,district,total,159492.5
2020,Кърджали,district,urban,64271.0
2020,Кърджали,district,rural,95221.5
2021,Кърджали,district,total,160902.5
2021,Кърджали,district,urban,64626.0
2021,Кърджали,district,rural,96276.5
2022,Кърджали,district,total,141651.0
2022,Кърджали,district,urban,59353.0
2022,Кърджали,district,rural,82299.0
2023,Кърджали,district,total,144535.0
2023,Кърджали,district,urban,59977.5
2023,Кърджали,district,rural,84557.5
2024,Кърджали,district,total,148020.0
2024,Кърджали,district,urban,60575.0
2024,Кърджали,district,rural,87445.0
2025,Кърджали,district,total,150753.0
2025,Кърджали,district,urban,61215.0
2025,Кърджали,district,rural,89538.0
2010,Кюстендил,district,total,144329.0
2010,Кюстендил,district,urban,98171.0
2010,Кюстендил,district,rural,46158.0
2011,Кюстендил,district,total,135938.0
2011,Кюстендил,district,urban,93176.0
2011,Кюстендил,district,rural,42762.0
2012,Кюстендил,district,total,133902.0
2012,Кюстендил,district,urban,92209.0
2012,Кюстендил,district,rural,41693.0
2013,Кюстендил,district,total,131557.0
2013,Кюстендил,district,urban,90993.0
2013,Кюстендил,district,rural,40564.0
2014,Кюстендил,district,total,129135.0
2014,Кюстендил,district,urban,89552.0
2014,Кюстендил,district,rural,39583.0
2015,Кюстендил,district,total,126991.5
2015,Кюстендил,district,urban,87954.0
2015,Кюстендил,district,rural,39037.5
2016,Кюстендил,district,total,124722.5
2016,Кюстендил,district,urban,86338.5
2016,Кюстендил,district,rural,38384.0
2017,Кюстендил,district,total,122265.0
2017,Кюстендил,district,urban,84961.5
2017,Кюстендил,district,rural,37303.5
2018,Кюстендил,district,total,120070.0
2018,Кюстендил,district,urban,83779.5
2018,Кюстендил,district,rural,36290.5
2019,Кюстендил,district,total,117978.0
2019,Кюстендил,district,urban,82557.0
2019,Кюстендил,district,rural,35421.0
2020,Кюстендил,district,total,116767.0
2020,Кюстендил,district,urban,81404.0
2020,Кюстендил,district,rural,35363.0
2021,Кюстендил,district,total,115029.5
2021,Кюстендил,district,urban,79977.5
2021,Кюстендил,district,rural,35052.0
2022,Кюстендил,district,total,109503.0
2022,Кюстендил,district,urban,74988.0
2022,Кюстендил,district,rural,34515.0
2023,Кюстендил,district,total,108188.0
2023,Кюстендил,district,urban,74098.0
2023,Кюстендил,district,rural,34090.0
2024,Кюстендил,district,total,106902.0
2024,Кюстендил,district,urban,73248.0
2024,Кюстендил,district,rural,33654.0
2025,Кюстендил,district,total,105435.5
2025,Кюстендил,district,urban,72513.5
2025,Кюстендил,district,rural,32922.0
2010,Ловеч,district,total,149555.0
2010,Ловеч,district,urban,92675.0
2010,Ловеч,district,rural,56880.0
2011,Ловеч,district,total,140581.0
2011,Ловеч,district,urban,87271.0
2011,Ловеч,district,rural,53310.0
2012,Ловеч,district,total,138663.0
2012,Ловеч,district,urban,86368.0
2012,Ловеч,district,rural,52295.0
2013,Ловеч,district,total,136649.0
2013,Ловеч,district,urban,85353.0
2013,Ловеч,district,rural,51296.0
2014,Ловеч,district,total,134546.0
2014,Ловеч,district,urban,84170.0
2014,Ловеч,district,rural,50376.0
2015,Ловеч,district,total,132503.0
2015,Ловеч,district,urban,82900.0
