year,territory_raw,territory_level,metric,value
2017,Пазарджик,district,urban,701.0
2017,Пазарджик,district,rural,385.0
2018,Пазарджик,district,total,1100.0
2018,Пазарджик,district,urban,724.0
2018,Пазарджик,district,rural,376.0
2019,Пазарджик,district,total,1088.0
2019,Пазарджик,district,urban,725.0
2019,Пазарджик,district,rural,363.0
2020,Пазарджик,district,total,845.0
2020,Пазарджик,district,urban,562.0
2020,Пазарджик,district,rural,283.0
2021,Пазарджик,district,total,953.0
2021,Пазарджик,district,urban,624.0
2021,Пазарджик,district,rural,329.0
2022,Пазарджик,district,total,907.0
2022,Пазарджик,district,urban,595.0
2022,Пазарджик,district,rural,312.0
2023,Пазарджик,district,total,684.0
2023,Пазарджик,district,urban,413.0
2023,Пазарджик,district,rural,271.0
2024,Пазарджик,district,total,672.0
2024,Пазарджик,district,urban,384.0
2024,Пазарджик,district,rural,288.0
2025,Пазарджик,district,total,643.0
2025,Пазарджик,district,urban,378.0
2025,Пазарджик,district,rural,265.0
2010,Перник,district,total,331.0
2010,Перник,district,urban,270.0
2010,Перник,district,rural,61.0
2011,Перник,district,total,317.0
2011,Перник,district,urban,259.0
2011,Перник,district,rural,58.0
2012,Перник,district,total,270.0
2012,Перник,district,urban,237.0
2012,Перник,district,rural,33.0
2013,Перник,district,total,292.0
2013,Перник,district,urban,243.0
2013,Перник,district,rural,49.0
2014,Перник,district,total,306.0
2014,Перник,district,urban,249.0
2014,Перник,district,rural,57.0
2015,Перник,district,total,303.0
2015,Перник,district,urban,242.0
2015,Перник,district,rural,61.0
2016,Перник,district,total,296.0
2016,Перник,district,urban,243.0
2016,Перник,district,rural,53.0
2017,Перник,district,total,324.0
2017,Перник,district,urban,271.0
2017,Перник,district,rural,53.0
2018,Перник,district,total,311.0
2018,Перник,district,urban,248.0
2018,Перник,district,rural,63.0
2019,Перник,district,total,353.0
2019,Перник,district,urban,285.0
2019,Перник,district,rural,68.0
2020,Перник,district,total,284.0
2020,Перник,district,urban,234.0
2020,Перник,district,rural,50.0
2021,Перник,district,total,290.0
2021,Перник,district,urban,227.0
2021,Перник,district,rural,63.0
2022,Перник,district,total,291.0
2022,Перник,district,urban,240.0
2022,Перник,district,rural,51.0
2023,Перник,district,total,262.0
2023,Перник,district,urban,211.0
2023,Перник,district,rural,51.0
2024,Перник,district,total,274.0
2024,Перник,district,urban,220.0
2024,Перник,district,rural,54.0
2025,Перник,district,total,290.0
2025,Перник,district,urban,243.0
2025,Перник,district,rural,47.0
2010,Плевен,district,total,684.0
2010,Плевен,district,urban,548.0
2010,Плевен,district,rural,136.0
2011,Плевен,district,total,585.0
2011,Плевен,district,urban,481.0
2011,Плевен,district,rural,104.0
2012,Плевен,district,total,527.0
2012,Плевен,district,urban,411.0
2012,Плевен,district,rural,116.0
2013,Плевен,district,total,544.0
2013,Плевен,district,urban,408.0
2013,Плевен,district,rural,136.0
2014,Плевен,district,total,616.0
2014,Плевен,district,urban,459.0
2014,Плевен,district,rural,157.0
2015,Плевен,district,total,796.0
2015,Плевен,district,urban,537.0
2015,Плевен,district,rural,259.0
2016,Плевен,district,total,703.0
2016,Плевен,district,urban,512.0
2016,Плевен,district,rural,191.0
2017,Плевен,district,total,796.0
2017,Плевен,district,urban,574.0
2017,Плевен,district,rural,222.0
2018,Плевен,district,total,879.0
2018,Плевен,district,urban,571.0
2018,Плевен,district,rural,308.0
2019,Плевен,district,total,863.0
2019,Плевен,district,urban,574.0
2019,Плевен,district,rural,289.0
2020,Плевен,district,total,641.0
2020,Плевен,district,urban,427.0
2020,Плевен,district,rural,214.0
2021,Плевен,district,total,804.0
2021,Плевен,district,urban,523.0
2021,Плевен,district,rural,281.0
2022,Плевен,district,total,794.0
2022,Плевен,district,urban,485.0
2022,Плевен,district,rural,309.0
2023,Плевен,district,total,559.0
2023,Плевен,district,urban,381.0
2023,Плевен,district,rural,178.0
2024,Плевен,district,total,550.0
2024,Плевен,district,urban,358.0
2024,Плевен,district,rural,192.0
2025,Плевен,district,total,500.0
2025,Плевен,district,urban,335.0
2025,Плевен,district,rural,165.0
2010,Пловдив,district,total,2483.0
2010,Пловдив,district,urban,2034.0
2010,Пловдив,district,rural,449.0
2011,Пловдив,district,total,1977.0
2011,Пловдив,district,urban,1589.0
2011,Пловдив,district,rural,388.0
2012,Пловдив,district,total,2151.0
2012,Пловдив,district,urban,1735.0
2012,Пловдив,district,rural,416.0
2013,Пловдив,district,total,2197.0
2013,Пловдив,district,urban,1806.0
2013,Пловдив,district,rural,391.0
2014,Пловдив,district,total,2603.0
2014,Пловдив,district,urban,2111.0
2014,Пловдив,district,rural,492.0
2015,Пловдив,district,total,2917.0
2015,Пловдив,district,urban,2418.0
2015,Пловдив,district,rural,499.0
2016,Пловдив,district,total,2801.0
2016,Пловдив,district,urban,2243.0
2016,Пловдив,district,rural,558.0
2017,Пловдив,district,total,2955.0
2017,Пловдив,district,urban,2365.0
2017,Пловдив,district,rural,590.0
2018,Пловдив,district,total,2933.0
2018,Пловдив,district,urban,2316.0
2018,Пловдив,district,rural,617.0
2019,Пловдив,district,total,2874.0
2019,Пловдив,district,urban,2224.0
2019,Пловдив,district,rural,650.0
2020,Пловдив,district,total,2322.0
2020,Пловдив,district,urban,1797.0
2020,Пловдив,district,rural,525.0
2021,Пловдив,district,total,2803.0
2021,Пловдив,district,urban,2163.0
2021,Пловдив,district,rural,640.0
2022,Пловдив,district,total,2655.0
2022,Пловдив,district,urban,2045.0
2022,Пловдив,district,rural,610.0
2023,Пловдив,district,total,2177.0
2023,Пловдив,district,urban,1697.0
2023,Пловдив,district,rural,480.0
2024,Пловдив,district,total,2015.0
2024,Пловдив,district,urban,1543.0
2024,Пловдив,district,rural,472.0
2025,Пловдив,district,total,2000.0
2025,Пловдив,district,urban,1522.0
2025,Пловдив,district,rural,478.0
2010,Разград,district,total,466.0
2010,Разград,district,urban,205.0
