dataset,year,territory_raw,territory_level,oblast,municipality,metric,value,source_file
births_by_sex,2014,Благоевград,oblast,Благоевград,,male,403.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2014,Благоевград,oblast,Благоевград,,female,383.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2015,Благоевград,oblast,Благоевград,,total,790.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2015,Благоевград,oblast,Благоевград,,male,403.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2015,Благоевград,oblast,Благоевград,,female,387.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2016,Благоевград,oblast,Благоевград,,total,754.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2016,Благоевград,oblast,Благоевград,,male,361.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2016,Благоевград,oblast,Благоевград,,female,393.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2017,Благоевград,oblast,Благоевград,,total,715.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2017,Благоевград,oblast,Благоевград,,male,357.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2017,Благоевград,oblast,Благоевград,,female,358.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2018,Благоевград,oblast,Благоевград,,total,745.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2018,Благоевград,oblast,Благоевград,,male,417.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2018,Благоевград,oblast,Благоевград,,female,328.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2019,Благоевград,oblast,Благоевград,,total,724.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2019,Благоевград,oblast,Благоевград,,male,372.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2019,Благоевград,oblast,Благоевград,,female,352.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2020,Благоевград,oblast,Благоевград,,total,660.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2020,Благоевград,oblast,Благоевград,,male,338.0,Pop_1.2.1._birth_DR.xlsx
