dataset,year,residence_group,female_age_group,male_age_group,value,source_file,sheet_name
marriages_age_matrix,2010,В градовете,50 - 59,total,390.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В градовете,50 - 59,20 - 24,1.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В градовете,50 - 59,25 - 29,1.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В градовете,50 - 59,30 - 34,1.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В градовете,50 - 59,35 - 39,4.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В градовете,50 - 59,40 - 49,43.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В градовете,50 - 59,50 - 59,197.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В градовете,50 - 59,60 +,143.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В градовете,60 +,total,173.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В градовете,60 +,50 - 59,12.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В градовете,60 +,60 +,161.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В селата,Под 18,total,65.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В селата,Под 18,под 18,2.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В селата,Под 18,18 - 19,9.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В селата,Под 18,20 - 24,37.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В селата,Под 18,25 - 29,15.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В селата,Под 18,30 - 34,2.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В селата,18 - 19,total,550.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В селата,18 - 19,18 - 19,28.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В селата,18 - 19,20 - 24,330.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В селата,18 - 19,25 - 29,154.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В селата,18 - 19,30 - 34,27.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В селата,18 - 19,35 - 39,10.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В селата,18 - 19,40 - 49,1.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В селата,20 - 24,total,1997.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В селата,20 - 24,под 18,1.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В селата,20 - 24,18 - 19,24.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В селата,20 - 24,20 - 24,730.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В селата,20 - 24,25 - 29,916.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В селата,20 - 24,30 - 34,271.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В селата,20 - 24,35 - 39,46.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В селата,20 - 24,40 - 49,8.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В селата,20 - 24,50 - 59,1.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В селата,25 - 29,total,1234.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В селата,25 - 29,18 - 19,2.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В селата,25 - 29,20 - 24,92.0,Pop_4.1.2._Marriages_DR.xlsx,2010
