dataset,year,territory_raw,territory_level,oblast,municipality,metric,value,source_file
marriages_by_residence,2022,Бургас,oblast,Бургас,,total,1734.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2022,Бургас,oblast,Бургас,,urban,1251.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2022,Бургас,oblast,Бургас,,rural,483.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2023,Бургас,oblast,Бургас,,total,1467.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2023,Бургас,oblast,Бургас,,urban,1091.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2023,Бургас,oblast,Бургас,,rural,376.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2024,Бургас,oblast,Бургас,,total,1248.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2024,Бургас,oblast,Бургас,,urban,908.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2024,Бургас,oblast,Бургас,,rural,340.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2025,Бургас,oblast,Бургас,,total,1271.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2025,Бургас,oblast,Бургас,,urban,930.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2025,Бургас,oblast,Бургас,,rural,341.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2010,Варна,oblast,Варна,,total,1733.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2010,Варна,oblast,Варна,,urban,1576.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2010,Варна,oblast,Варна,,rural,157.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2011,Варна,oblast,Варна,,total,1514.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2011,Варна,oblast,Варна,,urban,1357.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2011,Варна,oblast,Варна,,rural,157.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2012,Варна,oblast,Варна,,total,1415.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2012,Варна,oblast,Варна,,urban,1244.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2012,Варна,oblast,Варна,,rural,171.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2013,Варна,oblast,Варна,,total,1544.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2013,Варна,oblast,Варна,,urban,1383.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2013,Варна,oblast,Варна,,rural,161.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2014,Варна,oblast,Варна,,total,1732.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2014,Варна,oblast,Варна,,urban,1478.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2014,Варна,oblast,Варна,,rural,254.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2015,Варна,oblast,Варна,,total,2119.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2015,Варна,oblast,Варна,,urban,1715.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2015,Варна,oblast,Варна,,rural,404.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2016,Варна,oblast,Варна,,total,1983.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2016,Варна,oblast,Варна,,urban,1629.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2016,Варна,oblast,Варна,,rural,354.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2017,Варна,oblast,Варна,,total,2186.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2017,Варна,oblast,Варна,,urban,1800.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2017,Варна,oblast,Варна,,rural,386.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2018,Варна,oblast,Варна,,total,2177.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2018,Варна,oblast,Варна,,urban,1781.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2018,Варна,oblast,Варна,,rural,396.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2019,Варна,oblast,Варна,,total,2060.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2019,Варна,oblast,Варна,,urban,1696.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2019,Варна,oblast,Варна,,rural,364.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2020,Варна,oblast,Варна,,total,1687.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2020,Варна,oblast,Варна,,urban,1315.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2020,Варна,oblast,Варна,,rural,372.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2021,Варна,oblast,Варна,,total,1968.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2021,Варна,oblast,Варна,,urban,1571.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2021,Варна,oblast,Варна,,rural,397.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2022,Варна,oblast,Варна,,total,1806.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2022,Варна,oblast,Варна,,urban,1421.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2022,Варна,oblast,Варна,,rural,385.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2023,Варна,oblast,Варна,,total,1535.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2023,Варна,oblast,Варна,,urban,1222.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2023,Варна,oblast,Варна,,rural,313.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2024,Варна,oblast,Варна,,total,1421.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2024,Варна,oblast,Варна,,urban,1143.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2024,Варна,oblast,Варна,,rural,278.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2025,Варна,oblast,Варна,,total,1490.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2025,Варна,oblast,Варна,,urban,1246.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2025,Варна,oblast,Варна,,rural,244.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2010,Велико Търново,oblast,Велико Търново,,total,711.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2010,Велико Търново,oblast,Велико Търново,,urban,571.0,Pop_4.1.1._Marriages_DR.xlsx
marriages_by_residence,2010,Велико Търново,oblast,Велико Търново,,rural,140.0,Pop_4.1.1._Marriages_DR.xlsx
