group_name,age_group,year,metric,value
Видин,Под 18,2015,female,5.0
Видин,Под 18,2016,male,
Видин,Под 18,2016,female,10.0
Видин,Под 18,2017,male,
Видин,Под 18,2017,female,8.0
Видин,Под 18,2018,male,1.0
Видин,Под 18,2018,female,5.0
Видин,Под 18,2019,male,
Видин,Под 18,2019,female,10.0
Видин,Под 18,2020,male,1.0
Видин,Под 18,2020,female,8.0
Видин,Под 18,2021,male,
Видин,Под 18,2021,female,10.0
Видин,Под 18,2022,male,1.0
Видин,Под 18,2022,female,10.0
Видин,Под 18,2023,male,
Видин,Под 18,2023,female,3.0
Видин,18 - 19,2010,male,6.0
Видин,18 - 19,2010,female,12.0
Видин,18 - 19,2011,male,4.0
Видин,18 - 19,2011,female,9.0
Видин,18 - 19,2012,male,5.0
Видин,18 - 19,2012,female,11.0
Видин,18 - 19,2013,male,2.0
Видин,18 - 19,2013,female,9.0
Видин,18 - 19,2014,male,3.0
Видин,18 - 19,2014,female,12.0
Видин,18 - 19,2015,male,5.0
Видин,18 - 19,2015,female,15.0
Видин,18 - 19,2016,male,
Видин,18 - 19,2016,female,16.0
Видин,18 - 19,2017,male,2.0
Видин,18 - 19,2017,female,12.0
Видин,18 - 19,2018,male,3.0
Видин,18 - 19,2018,female,24.0
Видин,18 - 19,2019,male,10.0
Видин,18 - 19,2019,female,13.0
Видин,18 - 19,2020,male,4.0
Видин,18 - 19,2020,female,18.0
Видин,18 - 19,2021,male,11.0
Видин,18 - 19,2021,female,25.0
Видин,18 - 19,2022,male,9.0
Видин,18 - 19,2022,female,23.0
Видин,18 - 19,2023,male,7.0
Видин,18 - 19,2023,female,18.0
Видин,18 - 19,2024,male,6.0
Видин,18 - 19,2024,female,15.0
Видин,18 - 19,2025,male,1.0
Видин,18 - 19,2025,female,14.0
Видин,20 - 24,2010,male,28.0
Видин,20 - 24,2010,female,67.0
Видин,20 - 24,2011,male,23.0
Видин,20 - 24,2011,female,52.0
Видин,20 - 24,2012,male,21.0
Видин,20 - 24,2012,female,38.0
Видин,20 - 24,2013,male,21.0
Видин,20 - 24,2013,female,30.0
Видин,20 - 24,2014,male,24.0
Видин,20 - 24,2014,female,33.0
Видин,20 - 24,2015,male,30.0
Видин,20 - 24,2015,female,60.0
Видин,20 - 24,2016,male,37.0
Видин,20 - 24,2016,female,57.0
Видин,20 - 24,2017,male,39.0
Видин,20 - 24,2017,female,51.0
Видин,20 - 24,2018,male,41.0
Видин,20 - 24,2018,female,59.0
Видин,20 - 24,2019,male,28.0
Видин,20 - 24,2019,female,41.0
Видин,20 - 24,2020,male,24.0
Видин,20 - 24,2020,female,30.0
Видин,20 - 24,2021,male,41.0
Видин,20 - 24,2021,female,65.0
Видин,20 - 24,2022,male,42.0
Видин,20 - 24,2022,female,52.0
Видин,20 - 24,2023,male,35.0
Видин,20 - 24,2023,female,44.0
Видин,20 - 24,2024,male,23.0
Видин,20 - 24,2024,female,39.0
Видин,20 - 24,2025,male,25.0
Видин,20 - 24,2025,female,30.0
Видин,25 - 29,2010,male,62.0
Видин,25 - 29,2010,female,64.0
Видин,25 - 29,2011,male,57.0
Видин,25 - 29,2011,female,39.0
Видин,25 - 29,2012,male,41.0
Видин,25 - 29,2012,female,45.0
Видин,25 - 29,2013,male,39.0
Видин,25 - 29,2013,female,37.0
Видин,25 - 29,2014,male,46.0
Видин,25 - 29,2014,female,47.0
Видин,25 - 29,2015,male,63.0
Видин,25 - 29,2015,female,46.0
Видин,25 - 29,2016,male,64.0
Видин,25 - 29,2016,female,72.0
Видин,25 - 29,2017,male,60.0
Видин,25 - 29,2017,female,73.0
Видин,25 - 29,2018,male,83.0
Видин,25 - 29,2018,female,74.0
Видин,25 - 29,2019,male,63.0
Видин,25 - 29,2019,female,66.0
Видин,25 - 29,2020,male,37.0
Видин,25 - 29,2020,female,40.0
Видин,25 - 29,2021,male,56.0
Видин,25 - 29,2021,female,51.0
Видин,25 - 29,2022,male,48.0
Видин,25 - 29,2022,female,49.0
Видин,25 - 29,2023,male,43.0
Видин,25 - 29,2023,female,40.0
Видин,25 - 29,2024,male,36.0
Видин,25 - 29,2024,female,31.0
Видин,25 - 29,2025,male,26.0
Видин,25 - 29,2025,female,29.0
Видин,30 - 34,2010,male,49.0
Видин,30 - 34,2010,female,30.0
Видин,30 - 34,2011,male,27.0
Видин,30 - 34,2011,female,19.0
Видин,30 - 34,2012,male,30.0
Видин,30 - 34,2012,female,15.0
Видин,30 - 34,2013,male,23.0
Видин,30 - 34,2013,female,13.0
Видин,30 - 34,2014,male,25.0
Видин,30 - 34,2014,female,25.0
Видин,30 - 34,2015,male,41.0
Видин,30 - 34,2015,female,39.0
Видин,30 - 34,2016,male,60.0
Видин,30 - 34,2016,female,36.0
Видин,30 - 34,2017,male,54.0
Видин,30 - 34,2017,female,51.0
Видин,30 - 34,2018,male,54.0
Видин,30 - 34,2018,female,41.0
Видин,30 - 34,2019,male,56.0
Видин,30 - 34,2019,female,47.0
Видин,30 - 34,2020,male,38.0
Видин,30 - 34,2020,female,31.0
Видин,30 - 34,2021,male,58.0
Видин,30 - 34,2021,female,42.0
Видин,30 - 34,2022,male,45.0
Видин,30 - 34,2022,female,33.0
Видин,30 - 34,2023,male,40.0
Видин,30 - 34,2023,female,38.0
Видин,30 - 34,2024,male,29.0
Видин,30 - 34,2024,female,22.0
Видин,30 - 34,2025,male,27.0
Видин,30 - 34,2025,female,28.0
Видин,35 - 39,2010,male,31.0
Видин,35 - 39,2010,female,17.0
Видин,35 - 39,2011,male,15.0
Видин,35 - 39,2011,female,18.0
Видин,35 - 39,2012,male,26.0
Видин,35 - 39,2012,female,20.0
Видин,35 - 39,2013,male,20.0
Видин,35 - 39,2013,female,20.0
Видин,35 - 39,2014,male,29.0
Видин,35 - 39,2014,female,17.0
Видин,35 - 39,2015,male,33.0
